F12,tau12_GPa
0.0,-0.0
0.06000000238418579,0.23054130554199218
0.12000000476837158,0.25665231704711916
0.1799999952316284,0.2608443069458008
0.24000000953674316,0.25905221939086914
0.3,0.255159854888916
0.3599999904632568,0.2500858688354492
0.4199999809265137,0.24405975341796876
0.48000001907348633,0.2371537971496582
0.5400000095367432,0.22940589904785155
0.6,0.22084787368774414
0.6599999904632569,0.21151216506958007
0.7199999809265136,0.201433162689209
0.7800000190734864,0.1906475830078125
0.8399999618530274,0.18052423477172852
0.9,0.18093496322631836
0.9600000381469727,0.18622114181518554
1.0199999809265137,0.18400257110595702
1.0800000190734864,0.181131534576416
1.1399999618530274,0.17762042999267577
1.2,0.17348262786865234
1.2600000381469727,0.16873363494873048
1.3199999809265137,0.16339107513427734
1.3800000190734862,0.15747453689575194
1.4399999618530273,0.1510055637359619
1.5,0.14400755882263183
1.5600000381469727,0.13650566101074219
1.6200000762939453,0.128944091796875
1.6799999237060548,0.129393835067749
1.7399999618530273,0.14982345581054687
1.8,0.15935415267944336
1.8600000381469726,0.16520217895507813
1.9200000762939453,0.17044176101684572
1.9799999237060546,0.17505502700805664
2.0399999618530273,0.17902595520019532
2.1,0.18234094619750976
2.160000038146973,0.18498893737792968
2.220000076293945,0.18696123123168945
2.279999923706055,0.18825176239013672
2.339999961853027,0.18885686874389648
2.4,0.18911521911621093
2.4600000381469727,0.19722772598266602
2.5200000762939454,0.2162816619873047
2.5799999237060547,0.22535655975341798
2.6399999618530274,0.23360258102416992
2.7,0.24099285125732423
2.7600000381469725,0.2475020980834961
2.8200000762939452,0.25310836791992186
2.8799999237060545,0.25779319763183595
2.9399999618530273,0.26154155731201173
3.0,0.2643419075012207
3.0600000381469727,0.2661862754821777
3.1200000762939455,0.2670701217651367
3.1799999237060548,0.26699247360229494
3.2400001525878905,0.26595579147338866
3.3,0.263965950012207
3.3599998474121096,0.2610322380065918
3.4200000762939453,0.25716720581054686
3.4799999237060546,0.25238670349121095
3.540000152587891,0.2467096710205078
3.6,0.24015817642211915
3.6599998474121094,0.2327571678161621
3.720000076293945,0.22453453063964843
3.779999923706055,0.21552080154418946
3.8400001525878906,0.20574920654296874
3.9,0.19525537490844727
3.959999847412109,0.18407733917236327
4.020000076293945,0.1781403923034668
4.079999923706055,0.18695159912109374
4.1400001525878904,0.18500732421875
4.2,0.18240644454956054
4.259999847412109,0.17916055679321288
4.320000076293946,0.17528215408325196
4.3799999237060545,0.17078584671020508
4.44000015258789,0.16568836212158203
4.5,0.16000850677490233
4.55999984741211,0.15376700401306154
4.6200000762939455,0.1469865036010742
4.679999923706054,0.13969141960144044
4.740000152587891,0.131907901763916
4.8,0.12745940208435058
4.8599998474121096,0.13882956504821778
4.920000076293945,0.15672560691833495
4.979999923706055,0.16282352447509765
5.040000152587891,0.168320369720459
5.1,0.17319828033447265
5.159999847412109,0.17744029998779298
5.220000076293945,0.1810317802429199
5.279999923706055,0.18396060943603515
5.340000152587891,0.18621707916259767
5.4,0.18779399871826172
5.459999847412109,0.18868675231933593
5.520000076293945,0.1888931655883789
5.579999923706055,0.1922758674621582
5.6400001525878904,0.21152061462402344
5.7,0.22168548583984374
5.759999847412109,0.23027898788452147
5.820000076293946,0.23802806854248046
5.8799999237060545,0.2449061965942383
5.94000015258789,0.25089006423950194
6.0,0.25595975875854493
